index,doc_a,doc_b,label,type,TF-IDF,Standard TED,pq-Gram,Section Cosine,Genuine Flat Domain SBERT
0,SU26SE102,SU26SE102_plag,1,Type_A,0.5769844828125621,0.40157480314960625,0.03383458646616541,0.4590496111298835,1.0
1,SU26SE045,SU26SE045_plag,1,Type_A,0.7099971987306961,0.39370078740157477,0.014760147601476014,0.5135859102670769,1.0
2,SU26SE043,SU26SE043_plag,1,Type_A,0.5361349154518443,0.39370078740157477,0.018518518518518517,0.432458797949451,1.0
3,SU26SE047,SU26SE047_plag,1,Type_A,0.4982717475898821,0.3728813559322034,0.003937007874015748,0.4187506844868749,1.0
4,SU26SE063,SU26SE063_plag,1,Type_A,0.5880350983719983,0.40944881889763785,0.03773584905660377,0.41995378567223146,1.0
5,SU26SE048,SU26SE048_plag,1,Type_A,0.5820775662887027,0.39370078740157477,0.018518518518518517,0.4822837075266253,1.0
6,SU26SE002,SU26SE002_plag,1,Type_A,0.6191104665485618,0.4251968503937008,0.041666666666666664,0.43309839942074935,1.0
7,SU26SE093,SU26SE093_plag,1,Type_A,0.7180375087722101,0.4330708661417323,0.03773584905660377,0.5465815806961727,1.0
8,SU26SE057,SU26SE057_plag,1,Type_A,0.39137937043370824,0.39370078740157477,0.011029411764705883,0.33017518558360737,1.0
9,SU26SE096,SU26SE096_plag,1,Type_A,0.6044750092602602,0.41463414634146345,0.022988505747126436,0.47997749774261306,1.0
10,SU26SE013,SU26SE013_plag,1,Type_A,0.5572209981572728,0.39370078740157477,0.018518518518518517,0.4366239468326026,1.0
11,SU26SE021,SU26SE021_plag,1,Type_A,0.6028181940073176,0.423728813559322,0.024,0.39770340816425387,1.0
12,SU26SE088,SU26SE088_plag,1,Type_A,0.7225000175057331,0.4173228346456693,0.041666666666666664,0.4638394214151898,1.0
13,SU26SE106,SU26SE106_plag,1,Type_A,0.8137690022066175,0.4173228346456693,0.03773584905660377,0.6441196410551994,1.0
14,SU26SE097,SU26SE097_plag,1,Type_A,0.8220561187268397,0.6463414634146342,0.0975609756097561,0.6865971035916603,1.0
15,SU26SE066,SU26SE066_plag,1,Type_A,0.6408772881546715,0.40157480314960625,0.026119402985074626,0.4603989382001423,1.0
16,SU26SE031,SU26SE031_plag,1,Type_A,0.6182423754561579,0.40944881889763785,0.022304832713754646,0.4227668648122634,1.0
17,SU27SE153,SU27SE153_plag,1,Type_A,0.7753030594316185,0.7173913043478262,0.0989010989010989,0.837006856769315,1.0
18,SU26SE023,SU26SE023_plag,1,Type_A,0.6535159313051562,0.4330708661417323,0.06177606177606178,0.5378280625062716,1.0
19,SU26SE101,SU26SE101_plag,1,Type_A,0.6167055644852202,0.4173228346456693,0.04961832061068702,0.5283133095419792,1.0
20,SU26SE086,SU26SE086_plag,1,Type_A,0.6039835595463158,0.39370078740157477,0.011029411764705883,0.4636566889278041,1.0
21,SU26SE034,SU26SE034_plag,1,Type_A,0.5815266315368821,0.4251968503937008,0.057692307692307696,0.5419899399393481,1.0
22,SU26SE003,SU26SE003_plag,1,Type_A,0.560286534523861,0.3858267716535433,0.007326007326007326,0.4305557285519138,1.0
23,SU26SE008,SU26SE008_plag,1,Type_A,0.6765514707755169,0.4251968503937008,0.03773584905660377,0.45780815495217414,1.0
24,SU26SE041,SU26SE041_plag,1,Type_A,0.6203941178447878,0.40944881889763785,0.03383458646616541,0.43659104676979565,1.0
25,SU26SE037,SU26SE037_plag,1,Type_A,0.48935697911522097,0.5975609756097561,0.011235955056179775,0.3408167477668792,1.0
26,SU26SE010,SU26SE010_plag,1,Type_A,0.6092501239657618,0.4173228346456693,0.026119402985074626,0.37858930656668643,1.0
27,SU26SE022,SU26SE022_plag,1,Type_A,0.6275778598228784,0.3858267716535433,0.007326007326007326,0.4613622920130229,1.0
28,SU26SE017,SU26SE017_plag,1,Type_A,0.5248804174102019,0.4251968503937008,0.04961832061068702,0.38504888387803515,1.0
29,SU26SE170,SU26SE170_plag,1,Type_A,0.6970116945390537,0.4330708661417323,0.04961832061068702,0.5030755161331999,1.0
30,SU26SE107,SU26SE107_plag,1,Type_A,0.7176357901549711,0.39370078740157477,0.022304832713754646,0.5245296522950794,1.0
31,SU26SE083,SU26SE083_plag,1,Type_A,0.6067292362551089,0.4067796610169492,0.011857707509881422,0.5167203563775858,1.0
32,SU26SE025,SU26SE025_plag,1,Type_A,0.6458972524229274,0.40944881889763785,0.041666666666666664,0.5136422169593207,1.0
33,SU26SE056,SU26SE056_plag,1,Type_A,0.5913077062655919,0.40157480314960625,0.026119402985074626,0.47135642815760553,1.0
