index,doc_a,doc_b,label,type,score,D1,D2,D3,D4
0,SU26SE102,SU26SE102_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
1,SU26SE045,SU26SE045_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
2,SU26SE043,SU26SE043_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
3,SU26SE047,SU26SE047_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
4,SU26SE063,SU26SE063_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
5,SU26SE048,SU26SE048_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
6,SU26SE002,SU26SE002_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
7,SU26SE093,SU26SE093_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
8,SU26SE057,SU26SE057_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
9,SU26SE096,SU26SE096_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
10,SU26SE013,SU26SE013_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
11,SU26SE021,SU26SE021_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
12,SU26SE088,SU26SE088_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
13,SU26SE106,SU26SE106_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
14,SU26SE097,SU26SE097_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
15,SU26SE066,SU26SE066_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
16,SU26SE031,SU26SE031_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
17,SU27SE153,SU27SE153_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
18,SU26SE023,SU26SE023_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
19,SU26SE101,SU26SE101_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
20,SU26SE086,SU26SE086_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
21,SU26SE034,SU26SE034_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
22,SU26SE003,SU26SE003_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
23,SU26SE008,SU26SE008_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
24,SU26SE041,SU26SE041_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
25,SU26SE037,SU26SE037_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
26,SU26SE010,SU26SE010_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
27,SU26SE022,SU26SE022_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
28,SU26SE017,SU26SE017_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
29,SU26SE170,SU26SE170_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
30,SU26SE107,SU26SE107_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
31,SU26SE083,SU26SE083_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
32,SU26SE025,SU26SE025_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
33,SU26SE056,SU26SE056_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
34,SU26SE001,SU26SE001_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
35,SU26SE072,SU26SE072_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
36,SU26SE042,SU26SE042_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
37,SU26SE095,SU26SE095_plag,1,Type_A,1.0,1.0,1.0,1.0,1.0
38,SU26SE168,SP26SE003,0,Type_B,1.0,1.0,1.0,1.0,1.0
39,SU26SE169,SP26SE112,0,Type_B,1.0,1.0,1.0,1.0,1.0
40,SP26SE001,SU26SE004,0,Type_B,1.0,1.0,1.0,1.0,1.0
41,SP26SE150,SP26SE092,0,Type_B,1.0,1.0,1.0,1.0,1.0
42,SP26SE007,SP26SE098,0,Type_B,1.0,1.0,1.0,1.0,1.0
43,SP26SE102,SP26SE055,0,Type_B,1.0,1.0,1.0,1.0,1.0
44,SP26SE132,SP26SE157,0,Type_B,1.0,1.0,1.0,1.0,1.0
45,SP26SE143,SP26SE062,0,Type_B,1.0,1.0,1.0,1.0,1.0
46,SU26SE063,SP26SE019,0,Type_B,1.0,1.0,1.0,1.0,1.0
47,SU26SE088,SP26SE156,0,Type_B,1.0,1.0,1.0,1.0,1.0
48,SP26SE110,SP26SE038,0,Type_B,1.0,1.0,1.0,1.0,1.0
49,SU26SE080,SU26SE046,0,Type_B,1.0,1.0,1.0,1.0,1.0
50,SU26SE033,SP26SE161,0,Type_B,1.0,1.0,1.0,1.0,1.0
51,SU26SE048,SU26SE087,0,Type_B,1.0,1.0,1.0,1.0,1.0
52,SP26SE048,SU26SE087,0,Type_B,1.0,1.0,1.0,1.0,1.0
53,SP26SE047,SP26SE159,0,Type_B,1.0,1.0,1.0,1.0,1.0
54,SU26SE097,SP26SE150,0,Type_B,1.0,1.0,1.0,1.0,1.0
55,SP26SE150,SP26SE042,0,Type_B,1.0,1.0,1.0,1.0,1.0
56,SU26SE102,SP26SE034,0,Type_B,1.0,1.0,1.0,1.0,1.0
57,SP26SE138,SU26SE030,0,Type_B,1.0,1.0,1.0,1.0,1.0
58,SU26SE026,SU26SE063,0,Type_B,1.0,1.0,1.0,1.0,1.0
59,SU26SE059,SP26SE048,0,Type_B,1.0,1.0,1.0,1.0,1.0
