pair_id,type,sim_struct,sim_global_sbert,sim_hybrid,label
P1_SU26SE102,Perturbed_P1_SectionReorder,0.298,1.0,0.5788,0
P1_SP26SE163,Perturbed_P1_SectionReorder,0.2798,1.0,0.5679,0
P1_SP26SE045,Perturbed_P1_SectionReorder,0.3037,1.0,0.5822,0
P1_SP26SE071,Perturbed_P1_SectionReorder,0.3193,1.0,0.5916,0
P1_SU26SE045,Perturbed_P1_SectionReorder,0.3037,1.0,0.5822,0
P1_SU26SE043,Perturbed_P1_SectionReorder,0.2808,1.0,0.5685,0
P1_SU26SE047,Perturbed_P1_SectionReorder,0.2917,1.0,0.575,0
P1_SP26SE148,Perturbed_P1_SectionReorder,0.3408,1.0,0.6045,0
P1_SU26SE116,Perturbed_P1_SectionReorder,0.3701,1.0,0.6221,0
P1_SP26SE035,Perturbed_P1_SectionReorder,0.3228,1.0,0.5937,0
P1_SU26SE063,Perturbed_P1_SectionReorder,0.2956,1.0,0.5774,0
P1_SU26SE048,Perturbed_P1_SectionReorder,0.298,1.0,0.5788,0
P1_SU26SE002,Perturbed_P1_SectionReorder,0.2921,1.0,0.5753,0
P1_SP26SE020,Perturbed_P1_SectionReorder,0.3292,1.0,0.5975,0
P1_SP26SE001,Perturbed_P1_SectionReorder,0.3133,1.0,0.588,0
P1_SU26SE093,Perturbed_P1_SectionReorder,0.2696,1.0,0.5618,0
P1_SU26SE057,Perturbed_P1_SectionReorder,0.2932,1.0,0.5759,0
P1_SP26SE105,Perturbed_P1_SectionReorder,0.3118,1.0,0.5871,0
P1_SP26SE130,Perturbed_P1_SectionReorder,0.3096,1.0,0.5858,0
P1_SP26SE074,Perturbed_P1_SectionReorder,0.3046,1.0,0.5828,0
