case,doc_a,doc_b,label,domain,normalized_similarity,distance,replacements,deletions,insertions
A,SU26SE102,SU26SE102_plag,1,D1_BUSINESS_CONTEXT,0.4209220498015155,6.4185000000000025,7,19,1
A,SU26SE102,SU26SE102_plag,1,D2_FUNCTIONAL,0.46502748930971294,5.2545,1,22,4
A,SU26SE102,SU26SE102_plag,1,D3_TECHNICAL_REALIZATION,0.5038463698130158,4.418000000000001,9,9,0
A,SU26SE102,SU26SE102_plag,1,D4_EXECUTION_PLANNING,0.6306941353815232,2.5724,9,0,0
B,SP26SE068,SU26SE063,0,D1_BUSINESS_CONTEXT,0.36564202210683905,9.9572,27,0,0
B,SP26SE068,SU26SE063,0,D2_FUNCTIONAL,0.37526120660599926,9.268,27,0,0
B,SP26SE068,SU26SE063,0,D3_TECHNICAL_REALIZATION,0.4599814298978644,5.816,18,0,0
B,SP26SE068,SU26SE063,0,D4_EXECUTION_PLANNING,0.6008551576696953,2.9872,9,0,0
C,SP26SE122,SP26SE055,0,D1_BUSINESS_CONTEXT,0.36636273474741643,9.902800000000001,27,0,0
C,SP26SE122,SP26SE055,0,D2_FUNCTIONAL,0.39082568807339446,8.3,27,0,0
C,SP26SE122,SP26SE055,0,D3_TECHNICAL_REALIZATION,0.4686753346447248,5.5372,18,0,0
C,SP26SE122,SP26SE055,0,D4_EXECUTION_PLANNING,0.6013377926421404,2.9800000000000004,9,0,0
